id_resena,autor,estrellas,fecha,texto,respuesta_dueno
ChZDSUhNMG9nS0VJQ0FnSURLNnR1TkxBEAE,Pablo Sanchez,3,Fecha de edición: Hace 5 años,,
ChdDSUhNMG9nS0VJQ0FnSUN3OXJLaXlnRRAB,Oscar Alcalde,3,Hace 10 años,Precios muy altos en comparación con otros puntos de ventas de chapas de madera,
Ci9DQUlRQUNvZENodHljRjlvT25keloxSmFiR1pDWkV0dlVWSm9OSFZCVURCVk5XYxAB,Natalia Allo,3,Hace 3 meses,"Tardan un montón en atenderte, muy amables! Pero anda con tiempo, compres 100 placas o compres un rollo de papel para enmascarar.","Hola Natalia, hay veces que asesoramiento lleva tiempo y cuesta ser justo con todos. Lamentamos que tu experiencia no haya sido del todo buena. 
Te esperamos nuevamente para intentar cambiar tu impresion sobre nosotros!
Un beso"
ChZDSUhNMG9nS0VJQ0FnSUMyaEotdVdBEAE,Pablo Mansilla,3,Hace 4 años,,
ChZDSUhNMG9nS0VJQ0FnSUNxbWVpa1h3EAE,Cecilianorma Delatorre,3,Hace 5 años,,Gracias por reconocernos!
ChZDSUhNMG9nS0VJQ0FnSUR5Z2ZiOVFnEAE,Daniel Anibal Pelaez,3,Hace 5 años,,
ChZDSUhNMG9nS0VJQ0FnSUNpNGJTbkR3EAE,Roberto Oscar Chiarizia,3,Hace 5 años,"Si van con apuro de horario, no ir, tenés que esperar, y la atención es floja.",
ChdDSUhNMG9nS0VJQ0FnSUNNdTZHcTl3RRAB,Nora Bullon,3,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSUMwd2ZUeWFREAE,Alejandro Perez palacios,3,Hace 6 años,Exelente calidad de productos para la carpinteria y el steel framing.,
ChdDSUhNMG9nS0VJQ0FnSUNVLTUtTTV3RRAB,Daira Chaile,3,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSURraWM3MDJRRRAB,Gaston Vildoza,3,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNJdTlESjVBRRAB,SERGIO DANIEL PIACENTINI,3,Hace 7 años,"Mala atención con el público , muchos pleados , pésima atención .",
ChdDSUhNMG9nS0VJQ0FnSUNJbV9DT3R3RRAB,Cachito González Música,3,Hace 7 años,"Buen , pero deberían poner más atención al público particilar ya que el otro día  para comprar una placa de chapadur sin que haya nadie delante mío esperando, tarde 30 minutos. O sea hay que respetar el tiempo del otro",
ChZDSUhNMG9nS0VJQ0FnSUNJOGJ6VmJREAE,Ignacio Rios,3,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSURRM1BYeUVREAE,lisandro marinero,3,Hace 7 años,"No entiendo si es una cadena o son negocios independientes, lo que si sé es que dependiendo del lugar donde está ubicado, por el mismo producto manejan precios muy distintos. También es muy diferente la variedad de productos según el negocio. En zona sur, creo que el que mejores precios tiene es el de Varela, el de La Plata seguro que no",
ChZDSUhNMG9nS0VJQ0FnSURRaU03dlpnEAE,MARCOS SICARO,3,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSUNBaHRDQk5BEAE,Cata,3,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSUN3OXZhczh3RRAB,Fabian Reyes,3,Hace 8 años,"Buena atención, moderada variedad de productos, difícil encontrar lugar para estacionar, espera moderada a excesiva para la atencion",
ChZDSUhNMG9nS0VJQ0FnSURRbElLSlpREAE,tomas botta,3,Hace 8 años,,
Ci9DQUlRQUNvZENodHljRjlvT2xCdlNqSldURk4wZDBoRVkyOTZYM1V4V0U5UlZtYxAB,Luciano Madama,3,Hace un mes,,"Gracias Luciano!
te esperamos para mejorar esas 2 estrellitas que nos faltaron."
ChdDSUhNMG9nS0VJQ0FnSUR3Z0xQRXJRRRAB,Fernando Luchetti,4,Fecha de edición: Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSURRbXZMbWx3RRAB,Gaston Canavesi,4,Fecha de edición: Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNnMUotTnFBRRAB,Marcos Bordino,4,Fecha de edición: Hace 7 años,"Muy buena atención, presupuesto sin cargo",
ChdDSUhNMG9nS0VJQ0FnSURMc0lPejF3RRAB,Irene Rodriguez,4,Hace 2 años,Me pareció muy confiable. Precio acorde al producto y confiable en la entrega. No tuve que atajarme con nada y fue excelente la atención.,Qué bueno saber que te atendimos como te merecés! Agradecemos un montón tu comentario y el tiempo que le dedicaste. ¡Hasta pronto!
Ci9DQUlRQUNvZENodHljRjlvT2xKcVlYSlViMDFmYjBaa1QwMXBhVWRSVW1JeVNHYxAB,Sebastian Spreafico,4,Hace 2 meses,"Excelente atención.
Uno de los mejores de la ciudad de La Plata.","Muchas gracias Seba por destacarnos!
Te esperamos pronto, saludos!"
ChZDSUhNMG9nS0VJQ0FnSURKNHBlY01REAE,Sergio Alfonso,4,Hace 3 años,Excelente 👌…,Qué satisfacción leer tu comentario! Saber que logramos la calidad que buscabas nos empuja a seguir mejorando. ¡Te esperamos pronto!
ChdDSUhNMG9nS0VJQ0FnSUQtNHNIanNBRRAB,Heber Ramirez,4,Hace 3 años,,Gracias!
ChdDSUhNMG9nS0VJQ0FnSUNHbXZPajdBRRAB,Hache,4,Hace 4 años,Tiene buena atencion aunque un poco lenta. Los productos son de muy buena calidad.,Gracias por reconocernos!
ChZDSUhNMG9nS0VJQ0FnSUM2Z3MtTkt3EAE,Daniel Alberto Agostinelli,4,Hace 5 años,,Gracias por reconocernos!
ChZDSUhNMG9nS0VJQ0FnSURhanVfd1dREAE,Anibal Ricardo Almiron,4,Hace 5 años,Buena atención y asesoramiento recomendable .eso si ir con tiempo .,Gracias por reconocernos!
ChdDSUhNMG9nS0VJQ0FnSUNhdU8yTHRRRRAB,Marcelo Defelitto,4,Hace 5 años,,Gracias por reconocernos!
ChdDSUhNMG9nS0VJQ0FnSURTa3MtaDBBRRAB,Edwin Arias,4,Hace 5 años,Buen lugar para gente del rubro,
ChZDSUhNMG9nS0VJQ0FnSUNpXzRpaktnEAE,Nicolás Di Lorenzo,4,Hace 5 años,,
ChZDSUhNMG9nS0VJQ0FnSUNpOV9qbENREAE,Pau Aguirre,4,Hace 5 años,,
ChZDSUhNMG9nS0VJQ0FnSUNpaEtxZU5BEAE,Lorena Ledesma,4,Hace 5 años,,
ChZDSUhNMG9nS0VJQ0FnSURDd19uVGFREAE,Maxi Camino,4,Hace 5 años,Muy buena atencion,
ChZDSUhNMG9nS0VJQ0FnSURDaGNXMFlREAE,Castillo Sergio,4,Hace 5 años,Algo enkilombado pero bien. Recomendble,
ChZDSUhNMG9nS0VJQ0FnSUNDMmFiQkd3EAE,Alejandro Pesarini,4,Hace 6 años,En estos tiempos de pandemia me atendieron rápido y seguro,
ChdDSUhNMG9nS0VJQ0FnSURjc3VHamh3RRAB,Agustina Elizondo,4,Hace 6 años,Muy buena atención!!,
ChZDSUhNMG9nS0VJQ0FnSURjblBhcGJnEAE,Julio Gimenez,4,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSURzOGZUckpREAE,Darío Delgado,4,Hace 6 años,,
ChdDSUhNMG9nS0VJQ0FnSUNza29XM293RRAB,Sergio Cassinelli,4,Hace 6 años,"Buena atencion, disponibilidad y variedad",
ChZDSUhNMG9nS0VJQ0FnSUNzaE0zUFlnEAE,Nestor Callegher,4,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSURNNnFHTlNnEAE,Mauricio Sosa,4,Hace 6 años,,
ChdDSUhNMG9nS0VJQ0FnSURNcUp2UHBnRRAB,Cristian Barrios. Tracto Repuestos.,4,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSUNNM1lQSEhBEAE,Ricardo Giannotta,4,Hace 6 años,Buena calidad de productos,
ChZDSUhNMG9nS0VJQ0FnSUQwOVlXY0h3EAE,Germane Chamo,4,Hace 6 años,Muy buena atención!,
